,Date,None,+2,+1,0,-1,-2,polarity,subjectivity,pos_refs_per_ref,neg_refs_per_ref,senti_diffs_per_ref
48,20200227,37661,235,521,36,628,417,-0.16046640755136035,0.04559724543014836,0.019140209630867384,0.026457035799280975,-0.007316826168413591
49,20200228,39780,199,508,44,587,337,-0.13304721030042918,0.03934386684356531,0.017054637558798696,0.022289229284766614,-0.005234591725967917
50,20200229,41672,184,404,49,651,323,-0.2471190781049936,0.036088071529237806,0.013585010281172746,0.02250306124806506,-0.008918050966892313
51,20200301,35641,187,544,49,558,333,-0.09864364981504316,0.04347126929674099,0.01959155231560892,0.023879716981132077,-0.004288164665523156
52,20200302,36234,215,771,36,497,321,0.09312638580931264,0.04738141513893996,0.025896937542680045,0.021484477596259915,0.004412459946420129
53,20200303,34759,249,464,45,569,353,-0.12782874617737003,0.044869507944784434,0.01956694750130355,0.025302560443480886,-0.005735612942177337
54,20200304,34591,295,500,33,503,331,-0.02394106813996317,0.044934212341047636,0.02192921965078752,0.023004992690260115,-0.0010757730394725955
55,20200305,34936,246,485,31,510,318,-0.062219371391917896,0.0426819252039643,0.020013141323988393,0.022668783879975906,-0.0026556425559875157
56,20200306,37647,213,501,36,542,283,-0.07212475633528265,0.039238182652592934,0.018204069144867677,0.021034113507725258,-0.00283004436285758
57,20200307,38110,193,472,34,526,304,-0.11036789297658862,0.03771538131638033,0.01677640707384142,0.020938974242538915,-0.004162567168697495
58,20200308,32995,279,441,37,511,263,-0.03614457831325301,0.04327173724149916,0.020853849273011642,0.022417887968487517,-0.0015640386954758733
59,20200309,35417,235,495,32,463,324,-0.037574159525379035,0.04103771032840989,0.01974787642698696,0.02128983390142293,-0.0015419574744359682
60,20200310,35703,254,464,28,462,378,-0.07830551989730423,0.041781758695593876,0.019255008179355843,0.022526750516238033,-0.0032717423368821903
61,20200311,34249,276,491,35,515,413,-0.09498525073746313,0.04711081464187443,0.021317991050334918,0.025792823591539508,-0.004474832541204591
62,20200312,34759,284,480,46,460,380,-0.04738154613466334,0.04405504133593342,0.020983822681205196,0.023071218654728227,-0.00208739597352303
63,20200313,36608,210,466,31,487,381,-0.12435233160621761,0.04043684362150695,0.017704213917188277,0.022732629704318677,-0.005028415787130399
64,20200314,40558,208,447,33,525,300,-0.11486486486486487,0.03517862660740177,0.015568919208005514,0.01960970739939626,-0.004040788191390744
65,20200315,32090,255,461,31,410,408,-0.06649282920469361,0.04558015153766157,0.021274699153171893,0.024305452384489674,-0.0030307532313177833
66,20200316,34857,355,435,38,451,388,-0.030079803560466543,0.044600810426021244,0.021629613404884458,0.022971197021136786,-0.0013415836162523273
67,20200317,29498,217,315,29,388,304,-0.13071895424836602,0.03980358362329681,0.017300250398361028,0.022503333224935775,-0.005203082826574746
68,20200318,34186,235,479,26,477,354,-0.07572815533980583,0.043208322845876335,0.019968118130715664,0.023240204715160667,-0.0032720865844450037
69,20200319,34570,281,462,33,535,382,-0.10481927710843374,0.045776686981220525,0.020489203871714972,0.025287483109505557,-0.004798279237790586
70,20200320,37197,263,498,65,479,364,-0.05112219451371571,0.04127000463129728,0.019580095713477075,0.021689908917820203,-0.002109813204343128
71,20200321,40831,215,595,29,527,306,-0.01399878271454656,0.03865609486389196,0.01905747829564972,0.01959861656824224,-0.0005411382725925229
72,20200322,32650,247,418,25,368,297,0.0,0.039111895309513305,0.019555947654756652,0.019555947654756652,0.0
73,20200323,33693,292,470,36,426,342,-0.00392156862745098,0.04339317621032928,0.021611503445928697,0.02178167276440058,-0.00017016931847187953
74,20200324,34081,263,506,23,409,340,0.013175230566534914,0.0426141148728314,0.021587782830834876,0.02102633204199652,0.0005614507888383584
75,20200325,34735,266,462,32,434,308,-0.009523809523809525,0.040566272042387615,0.020089963297182437,0.020476308745205177,-0.0003863454480227392
76,20200326,34534,287,484,46,428,301,0.028,0.041574279379157426,0.02136917960088692,0.02020509977827051,0.001164079822616408
77,20200327,36879,265,538,46,479,362,-0.023114355231143552,0.04262490601260079,0.020819829396665716,0.021805076615935077,-0.0009852472192693614
